start_time,trip_count
"1/17/2014 11",43
"1/17/2014 12",65
"1/17/2014 13",50
"1/17/2014 14",43
"1/17/2014 15",59
"1/17/2014 16",93
"1/17/2014 17",133
"1/17/2014 18",67
"1/17/2014 19",40
"1/17/2014 20",22
"1/17/2014 21",17
"1/17/2014 22",7
"1/17/2014 23",9
"1/17/2014 4",1
"1/17/2014 5",7
"1/17/2014 6",21
"1/17/2014 7",64
"1/17/2014 8",115
"1/17/2014 9",104
"1/17/2015 0",4
"1/17/2015 1",2
"1/17/2015 10",29
"1/17/2015 11",26
"1/17/2015 12",44
"1/17/2015 13",31
"1/17/2015 14",20
"1/17/2015 15",15
"1/17/2015 16",26
"1/17/2015 17",22
"1/17/2015 18",13
"1/17/2015 19",12
"1/17/2015 2",1
"1/17/2015 20",17
"1/17/2015 21",7
"1/17/2015 22",7
"1/17/2015 23",2
"1/17/2015 5",1
"1/17/2015 7",4
"1/17/2015 8",17
"1/17/2015 9",19
"1/18/2014 0",6
"1/18/2014 1",4
"1/18/2014 10",25
"1/18/2014 11",51
"1/18/2014 12",50
"1/18/2014 13",27
"1/18/2014 14",58
"1/18/2014 15",52
"1/18/2014 16",37
"1/18/2014 17",25
"1/18/2014 18",17
"1/18/2014 19",19
"1/18/2014 2",1
"1/18/2014 20",14
"1/18/2014 21",7
"1/18/2014 22",8
"1/18/2014 23",2
"1/18/2014 5",3
"1/18/2014 6",6
"1/18/2014 7",3
"1/18/2014 8",10
"1/18/2014 9",18
"1/18/2015 0",2
"1/18/2015 1",1
"1/18/2015 10",26
"1/18/2015 11",16
"1/18/2015 12",26
"1/18/2015 13",19
"1/18/2015 14",23
"1/18/2015 15",30
"1/18/2015 16",24
"1/18/2015 17",15
"1/18/2015 18",20
"1/18/2015 19",13
"1/18/2015 2",1
"1/18/2015 20",8
"1/18/2015 21",10
"1/18/2015 22",3
"1/18/2015 23",3
"1/18/2015 3",1
"1/18/2015 5",1
"1/18/2015 6",2
"1/18/2015 7",8
"1/18/2015 8",11
"1/18/2015 9",12
"1/19/2014 0",2
"1/19/2014 1",1
"1/19/2014 10",37
"1/19/2014 11",39
"1/19/2014 12",34
"1/19/2014 13",17
"1/19/2014 14",31
"1/19/2014 15",38
"1/19/2014 16",47
"1/19/2014 17",30
"1/19/2014 18",24
"1/19/2014 19",23
"1/19/2014 2",7
"1/19/2014 20",13
"1/19/2014 21",7
"1/19/2014 22",1
"1/19/2014 23",4
"1/19/2014 4",1
"1/19/2014 5",1
"1/19/2014 6",2
"1/19/2014 7",6
"1/19/2014 8",14
"1/19/2014 9",18
"1/19/2015 0",1
